timer,p1_id,p1_health,p1_x,p1_y,p1_jumping,p1_crouching,p1_in_move,p1_move_id,p2_id,p2_health,p2_x,p2_y,p2_jumping,p2_crouching,p2_in_move,p2_move_id,p1_rel_x,p1_rel_y,p1_facing_opponent,p1_health_diff,act_B,act_Y,act_X,act_A,act_L,act_R,act_Up,act_Down,act_Left,act_Right,act_Select,act_Start
150,3,176,183,192,0,0,0,0,6,176,285,192,0,0,0,0,-102,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
149,3,176,181,192,0,0,0,0,6,176,285,192,0,0,0,0,-104,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
149,3,176,181,192,0,0,0,0,6,176,285,192,0,0,0,0,-104,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
149,3,176,178,192,0,0,0,0,6,176,285,192,0,0,0,0,-107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,3,176,178,192,0,0,0,0,6,176,285,192,0,0,0,0,-107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,3,176,178,192,0,0,0,0,6,176,285,192,0,0,0,0,-107,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
149,3,176,178,192,0,0,0,0,6,176,285,192,0,0,0,0,-107,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
149,3,176,177,192,0,0,0,0,6,176,285,192,0,0,0,0,-108,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
149,3,176,174,192,0,0,0,0,6,176,285,192,0,0,0,0,-111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,3,176,174,192,0,0,0,0,6,176,285,192,0,0,0,0,-111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,3,176,174,192,0,0,0,0,6,176,285,192,0,0,0,0,-111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,3,176,174,192,0,0,0,0,6,176,285,192,0,0,0,0,-111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,3,176,174,192,0,0,0,0,6,176,285,192,0,0,0,0,-111,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
149,3,176,174,192,0,0,0,0,6,176,283,192,0,0,0,0,-109,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
149,3,176,176,192,0,0,0,0,6,176,282,192,0,0,0,0,-106,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
149,3,176,180,192,0,0,0,0,6,176,279,192,0,0,0,0,-99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,3,176,180,192,0,0,0,0,6,176,278,192,0,0,0,0,-98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,3,176,180,192,0,0,0,0,6,176,278,192,0,0,0,0,-98,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
149,3,176,182,192,0,0,0,0,6,176,275,192,0,0,0,0,-93,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
149,3,176,182,192,0,0,0,0,6,176,275,192,0,0,0,0,-93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,3,176,184,192,0,0,0,0,6,176,272,192,0,0,0,0,-88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,3,176,184,192,0,0,0,0,6,176,272,192,0,0,0,0,-88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,3,176,184,192,0,0,0,0,6,176,270,192,0,0,0,0,-86,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
149,3,176,186,192,0,0,0,0,6,176,267,192,0,0,0,0,-81,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
149,3,176,186,192,0,0,0,0,6,176,267,192,0,0,0,0,-81,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
149,3,176,190,192,0,0,0,0,6,176,265,192,0,0,0,0,-75,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
149,3,176,192,192,0,0,0,0,6,176,263,192,0,0,0,0,-71,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
149,3,176,194,192,0,0,0,0,6,176,262,192,0,0,0,0,-68,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
149,3,176,196,192,0,0,0,0,6,176,260,192,0,0,0,0,-64,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
149,3,176,196,192,0,0,0,0,6,176,260,192,0,0,0,0,-64,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
149,3,176,200,192,0,0,0,0,6,176,257,192,0,0,0,0,-57,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
149,3,176,201,192,0,0,0,0,6,176,256,192,0,0,0,0,-55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
149,3,176,201,192,0,0,0,0,6,176,256,192,0,0,0,0,-55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
149,3,176,203,192,0,0,0,0,6,176,256,192,0,0,1,131586,-53,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
149,3,176,205,192,0,0,1,1,6,176,256,192,0,0,1,131586,-51,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
148,3,176,205,192,0,0,1,1,6,176,256,192,0,0,1,131586,-51,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
148,3,176,205,192,0,0,1,1,6,176,256,192,0,0,1,131586,-51,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
148,3,176,205,192,0,0,1,1,6,176,256,192,0,0,1,131586,-51,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
148,3,176,205,192,0,0,1,1,6,176,256,192,0,0,1,131586,-51,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
148,3,149,227,192,0,0,1,1,6,170,207,192,0,0,1,131586,20,0,0,-21,0,0,0,0,0,0,0,0,0,1,0,0
148,3,149,205,192,0,0,0,0,6,170,256,192,0,0,0,0,-51,0,1,-21,0,1,0,0,0,0,0,0,0,1,0,0
148,3,149,205,192,0,0,0,0,6,170,256,192,0,0,0,0,-51,0,1,-21,0,1,0,0,0,0,0,0,0,1,0,0
148,3,149,205,192,0,0,0,0,6,170,256,192,0,0,0,0,-51,0,1,-21,0,1,0,0,0,1,0,0,0,1,0,0
148,3,149,205,192,0,0,0,0,6,170,256,192,0,0,0,0,-51,0,1,-21,0,0,0,0,0,0,0,0,0,1,0,0
148,3,149,205,192,0,0,0,0,6,170,256,192,0,0,0,0,-51,0,1,-21,0,0,0,0,0,0,0,0,0,1,0,0
148,3,149,205,192,0,0,0,0,6,170,256,192,0,0,0,0,-51,0,1,-21,0,0,0,0,0,0,0,0,0,1,0,0
148,3,149,205,192,0,0,0,0,6,170,256,192,0,0,0,0,-51,0,1,-21,0,0,0,0,0,0,0,0,0,1,0,0
148,3,149,205,192,0,0,0,0,6,170,256,192,0,0,0,0,-51,0,1,-21,0,0,0,0,0,0,0,0,0,1,0,0
148,3,149,205,192,0,0,0,0,6,170,256,192,0,0,0,0,-51,0,1,-21,0,0,0,0,0,0,0,0,0,1,0,0
148,3,149,205,192,0,0,0,0,6,170,256,192,0,0,0,0,-51,0,1,-21,0,0,0,0,0,0,0,0,0,1,0,0
148,3,149,205,192,0,0,0,0,6,170,256,192,0,0,0,0,-51,0,1,-21,0,0,0,0,0,0,0,0,0,0,0,0
148,3,149,205,192,0,0,0,0,6,170,256,192,0,0,0,0,-51,0,1,-21,0,0,0,0,0,0,0,0,0,0,0,0
148,3,149,205,192,0,0,0,0,6,170,256,192,0,0,0,0,-51,0,1,-21,0,0,0,0,0,0,0,0,1,0,0,0
148,3,149,205,192,0,0,0,0,6,170,256,192,0,0,0,0,-51,0,1,-21,0,0,0,0,0,0,0,0,1,0,0,0
148,3,149,202,192,0,0,0,0,6,170,258,192,0,0,0,0,-56,0,1,-21,0,0,0,0,0,0,0,0,1,0,0,0
